CODIGO_UNICO	NOMBRE_CARRERA	MODALIDAD_OFERTA	JORNADA	TIPO_PLAN_CARRERA	DURACION_ESTUDIOS	NIVEL_CARRERA	CODCLI	TIPO_DOC	N_DOC	DV	NIV_ACA	NIV_ACA_AUDIT_STATUS	ESTADO_EN_RUN
I162S2C101J4V1	DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO	3	4	1	1	5							SIN_CODCLI_EN_RUN
I162S2C102J4V1	DIPLOMADO SALUD CON FOCO EN MIGRACION	3	4	1	1	5							SIN_CODCLI_EN_RUN
I162S2C103J4V1	DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD	3	4	1	1	5							SIN_CODCLI_EN_RUN
I162S2C104J4V1	DIPLOMADO EN INNOVACION PARA LA DOCENCIA	3	4	1	1	5							SIN_CODCLI_EN_RUN
I162S2C105J4V1	DIPLOMADO EN HUMANIZACION EN SALUD	3	4	1	1	5							SIN_CODCLI_EN_RUN
I162S2C10J1V1	TECNICO EN PREVENCION DE RIESGOS	1	1	1	5	1							SIN_CODCLI_EN_RUN
I162S2C10J2V1	TECNICO EN PREVENCION DE RIESGOS	1	2	1	5	1							SIN_CODCLI_EN_RUN
I162S2C10J4V1	TECNICO EN PREVENCION DE RIESGOS	3	4	1	5	1							SIN_CODCLI_EN_RUN
I162S2C111J4V1	INGENIERIA EN FINANZAS	3	4	1	8	2							SIN_CODCLI_EN_RUN
I162S2C111J4V2	INGENIERIA EN FINANZAS	3	4	3	4	2							SIN_CODCLI_EN_RUN
I162S2C112J4V2	INGENIERIA EN MARKETING DIGITAL	3	4	3	4	2							SIN_CODCLI_EN_RUN
I162S2C113J4V1	INGENIERIA EN RECURSOS HUMANOS	3	4	1	8	2							SIN_CODCLI_EN_RUN
I162S2C113J4V2	INGENIERIA EN RECURSOS HUMANOS	3	4	3	4	2							SIN_CODCLI_EN_RUN
I162S2C114J2V1	TECNICO EN ENFERMERIA E INSTRUMENTACION QUIRURGICA	1	2	1	5	1							SIN_CODCLI_EN_RUN
I162S2C115J2V1	TECNICO EN FARMACIA	1	2	1	5	1							SIN_CODCLI_EN_RUN
I162S2C116J4V1	TECNICO EN FINANZAS	3	4	1	5	1							SIN_CODCLI_EN_RUN
I162S2C117J4V1	TECNICO EN INFRAESTRUCTURA CLOUD	3	4	1	5	1							SIN_CODCLI_EN_RUN
